Ship,Duration,Level,Target Artifact,Ancient puzzle cube,Puzzle cube,Puzzle cube (Epic),Mystical puzzle cube,Mystical puzzle cube (Rare),Unsolvable puzzle cube,Unsolvable puzzle cube (Rare),Unsolvable puzzle cube (Epic),Unsolvable puzzle cube (Legendary),Basic lunar totem,Lunar totem,Lunar totem (Rare),Powerful lunar totem,Powerful lunar totem (Rare),Eggceptional lunar totem,Eggceptional lunar totem (Rare),Eggceptional lunar totem (Epic),Eggceptional lunar totem (Legendary),Simple Demeters necklace,Jeweled Demeters necklace,Jeweled Demeters necklace (Rare),Pristine Demeters necklace,Pristine Demeters necklace (Rare),Pristine Demeters necklace (Epic),Beggspoke Demeters necklace,Beggspoke Demeters necklace (Rare),Beggspoke Demeters necklace (Epic),Beggspoke Demeters necklace (Legendary),Tiny vial of Martian dust,Vial of Martian dust,Vial of Martian dust (Rare),Hermetic vial of Martian dust,Hermetic vial of Martian dust (Epic),Prime vial of Martian dust,Prime vial of Martian dust (Rare),Prime vial of Martian dust (Legendary),Plain Aurelian brooch,Aurelian brooch,Jeweled Aurelian brooch,Jeweled Aurelian brooch (Rare),Jeweled Aurelian brooch (Epic),Eggceptional Aurelian brooch,Eggceptional Aurelian brooch (Rare),Eggceptional Aurelian brooch (Epic),Eggceptional Aurelian brooch (Legendary),Crude tungsten ankh,Tungsten ankh,Tungsten ankh (Rare),Polished tungsten ankh,Polished tungsten ankh (Rare),Polished tungsten ankh (Legendary),Brilliant tungsten ankh,Brilliant tungsten ankh (Rare),Brilliant tungsten ankh (Legendary),Plain gusset,Ornate gusset,Ornate gusset (Epic),Distegguished gusset,Distegguished gusset (Rare),Jeweled gusset,Jeweled gusset (Epic),Jeweled gusset (Legendary),Weak neodymium medallion,Neodymium medallion,Neodymium medallion (Rare),Precise neodymium medallion,Precise neodymium medallion (Epic),Eggceptional neodymium medallion,Eggceptional neodymium medallion (Rare),Eggceptional neodymium medallion (Epic),Eggceptional neodymium medallion (Legendary),Misaligned Mercury's lens,Mercury's lens,Mercury's lens (Rare),Precise Mercury's lens,Precise Mercury's lens (Rare),Meggnificent Mercury's lens,Meggnificent Mercury's lens (Rare),Meggnificent Mercury's lens (Epic),Meggnificent Mercury's lens (Legendary),Dull beak of Midas,Beak of Midas,Jeweled beak of Midas,Jeweled beak of Midas (Rare),Glistening beak of Midas,Glistening beak of Midas (Rare),Glistening beak of Midas (Legendary),Simple carved rainstick,Carved rainstick,Ornate carved rainstick,Meggnificent carved rainstick,Meggnificent carved rainstick (Epic),Meggnificent carved rainstick (Legendary),Miscalibrated interstellar compass,Interstellar compass,Precise interstellar compass,Precise interstellar compass (Rare),Clairvoyant interstellar compass,Clairvoyant interstellar compass (Rare),Clairvoyant interstellar compass (Epic),Clairvoyant interstellar compass (Legendary),Plain chalice,Polished chalice,Polished chalice (Epic),Jeweled chalice,Jeweled chalice (Rare),Jeweled chalice (Epic),Eggceptional chalice,Eggceptional chalice (Epic),Eggceptional chalice (Legendary),Tattered phoenix feather,Phoenix feather,Brilliant phoenix feather,Brilliant phoenix feather (Rare),Blazing phoenix feather,Blazing phoenix feather (Rare),Blazing phoenix feather (Legendary),Misaligned quantum metronome,Adequate quantum metronome,Adequate quantum metronome (Rare),Perfect quantum metronome,Perfect quantum metronome (Rare),Perfect quantum metronome (Epic),Reggference quantum metronome,Reggference quantum metronome (Rare),Reggference quantum metronome (Epic),Reggference quantum metronome (Legendary),Dilithium monocle,Precise dilithium monocle,Eggsacting dilithium monocle,Flawless dilithium monocle,Flawless dilithium monocle (Epic),Flawless dilithium monocle (Legendary),Inconsistent titanium actuator,Titanium actuator,Precise titanium actuator,Precise titanium actuator (Rare),Reggference titanium actuator,Reggference titanium actuator (Epic),Reggference titanium actuator (Legendary),Ship in a bottle,Detailed ship in a bottle,Complex ship in a bottle,Complex ship in a bottle (Rare),Eggquisite ship in a bottle,Eggquisite ship in a bottle (Rare),Eggquisite ship in a bottle (Epic),Eggquisite ship in a bottle (Legendary),Weak tachyon deflector,Tachyon deflector,Robust tachyon deflector,Robust tachyon deflector (Rare),Book of Basan,Collectors book of Basan,Fortified book of Basan,Fortified book of Basan (Epic),Dim light of Eggendil,Shimmering light of Eggendil,Shimmering light of Eggendil (Rare),Glowing light of Eggendil,Glowing light of Eggendil (Rare),Brilliant light of Eggendil,Brilliant light of Eggendil (Epic),Brilliant light of Eggendil (Legendary),Lunar stone,Eggsquisite lunar stone,Meggnificent lunar stone,Shell stone,Eggsquisite shell stone,Flawless shell stone,Tachyon stone,Eggsquisite tachyon stone,Brilliant tachyon stone,Terra stone,Rich terra stone,Eggceptional terra stone,Soul stone,Eggsquisite soul stone,Radiant soul stone,Dilithium stone,Eggsquisite dilithium stone,Quantum stone,Phased quantum stone,Meggnificent quantum stone,Life stone,Good life stone,Eggceptional life stone,Clarity stone,Eggsquisite clarity stone,Prophecy stone,Eggsquisite prophecy stone,Tiny gold meteorite,Enriched gold meteorite,Solid gold meteorite,Tau Ceti geode piece,Glimmering Tau Ceti geode,Radiant Tau Ceti geode,Solar titanium ore,Solar titanium bar,Solar titanium geogon,Clarity Stone Fragment,Dilithium Stone Fragment,Life Stone Fragment,Lunar Stone Fragment,Prophecy Stone Fragment,Quantum Stone Fragment,Shell Stone Fragment,Soul Stone Fragment,Tachyon Stone Fragment,Terra Stone Fragment
Atreggies,Epic,0,Aurelian brooch,0,0,0,312,65,33,4,0,0,0,0,0,279,28,41,4,1,0,0,0,0,214,17,4,193,15,2,1,0,115,13,375,11,5,0,0,586,870,1696,287,45,654,40,10,2,0,131,18,351,70,1,20,3,0,0,142,4,350,55,1,0,0,0,132,22,385,4,124,8,1,0,0,190,28,303,48,0,0,0,0,0,196,331,59,58,1,1,110,248,251,0,0,0,154,240,250,49,5,0,0,0,186,218,14,317,54,12,5,0,0,262,361,174,30,0,0,0,346,322,40,92,22,1,0,0,0,0,375,358,65,0,0,0,361,364,53,2,0,0,0,542,268,17,1,0,0,0,0,537,90,1,0,323,55,0,0,346,112,9,2,0,0,0,0,0,165,0,0,140,1,0,129,0,67,171,0,60,62,0,158,42,80,189,0,99,71,0,147,2,70,0,0,1535,62,0,1046,0,0,923,27,586,179,177,0,599,0,0,0,0,157
Atreggies,Epic,0,Beak of Midas,0,0,0,223,31,19,0,2,0,0,0,0,221,17,24,3,0,0,0,0,0,132,12,3,137,11,6,1,0,72,13,219,8,1,0,0,0,0,198,29,7,79,2,1,1,0,79,8,253,36,0,11,1,0,0,105,3,187,32,0,0,0,0,105,10,207,6,74,2,0,1,0,124,29,200,26,0,0,0,0,374,683,1153,185,196,11,0,87,137,137,0,0,0,99,155,145,26,2,0,0,0,144,139,2,183,32,6,5,0,0,179,202,104,16,0,0,0,211,232,28,54,13,2,0,0,0,0,217,252,42,0,0,0,218,219,35,5,0,0,0,290,138,13,5,0,0,0,0,373,71,0,0,229,35,0,0,197,60,9,0,0,0,0,0,0,118,0,0,90,1,0,79,0,47,103,0,51,31,0,90,34,53,100,0,77,55,0,72,2,45,1,0,994,42,0,733,0,0,542,17,360,104,106,0,402,0,0,0,0,78
Atreggies,Epic,0,Book of Basan,0,0,0,11394,1822,1411,51,25,7,0,0,0,10354,980,1680,113,22,1,0,0,0,7734,721,219,8025,414,158,31,0,4307,694,12580,337,212,10,0,0,0,10928,1794,276,4704,267,77,17,0,4824,401,12785,2078,57,855,58,1,0,5999,149,11690,1854,30,0,0,0,4924,641,12139,209,4667,250,71,20,0,7345,1154,11199,1830,0,0,0,0,0,6723,12762,1947,1992,81,3,4873,9108,8478,13,0,0,5575,8822,8935,1406,129,7,3,1,6597,8341,255,11259,1796,301,234,0,1,10030,12119,6130,947,0,0,0,11811,12563,1475,3635,545,117,0,0,0,0,12922,12735,2450,0,0,0,13095,12694,1779,306,0,0,0,18297,9291,759,96,0,0,0,0,19188,3822,25,3,61704,9370,16,0,11173,3530,412,16,2,0,0,0,0,5749,3,0,5204,29,0,5221,0,2387,5779,0,2388,1772,6,5506,1536,2913,5698,0,3787,2571,0,4227,111,2508,14,0,56001,2653,0,38383,0,0,33360,903,19849,5058,6423,0,21442,0,0,0,0,5735
Atreggies,Epic,0,CLARITY_STONE_FRAGMENT,0,0,0,61,16,14,0,0,0,0,0,0,63,7,11,0,0,0,0,0,0,46,3,0,54,1,2,0,0,20,10,79,4,1,0,0,0,0,61,6,1,15,1,0,0,0,39,3,88,16,0,12,0,0,0,31,2,79,9,0,0,0,0,37,4,78,2,34,2,1,0,0,48,5,58,6,0,0,0,0,0,45,64,10,12,0,0,33,48,43,0,0,0,34,56,62,9,0,0,0,0,32,44,1,87,13,1,0,0,0,59,68,27,6,0,0,0,77,80,11,19,4,2,0,0,0,0,72,84,19,0,0,0,84,90,8,1,0,0,0,105,61,6,3,0,0,0,0,129,19,0,0,81,13,0,0,67,25,1,0,1,0,0,0,0,38,0,0,30,0,0,30,0,21,36,0,22,6,0,33,8,20,51,0,25,10,0,22,1,25,0,0,373,22,0,239,0,0,189,2,168,32,41,0,129,0,0,0,0,43
Atreggies,Epic,0,Carved rainstick,0,0,0,39,3,4,0,0,0,0,0,0,27,3,7,0,0,0,0,0,0,26,4,1,22,0,0,0,0,10,1,37,1,0,0,0,0,0,34,3,1,12,2,0,1,0,16,3,45,7,0,2,0,0,0,15,1,34,5,0,0,0,0,15,1,35,1,25,1,0,0,0,22,1,36,6,0,0,0,0,0,19,45,3,8,0,0,71,155,141,1,0,0,12,25,23,9,0,0,0,0,18,27,1,35,9,2,0,0,0,37,40,21,1,0,0,0,34,40,5,7,2,0,0,0,0,0,45,32,8,0,0,0,43,46,3,0,0,0,0,56,25,3,0,0,0,0,0,49,6,0,0,35,7,0,0,34,12,2,0,0,0,0,0,0,18,0,0,13,0,0,14,0,4,10,0,6,7,0,25,4,11,19,0,6,7,0,11,0,10,0,0,172,12,0,114,0,0,82,3,61,14,17,0,62,0,0,0,0,21
Atreggies,Epic,0,Clarity stone,0,0,0,2643,445,346,16,5,2,0,0,0,2426,224,392,24,6,2,0,0,0,1814,171,40,1876,111,45,5,0,1031,196,3057,74,53,2,0,0,0,2665,426,66,1142,67,16,6,0,1202,98,3039,459,12,195,9,1,0,1435,35,2808,446,8,0,0,0,1181,171,2848,55,1112,57,15,8,0,1753,275,2702,417,0,0,0,0,0,1629,2938,454,488,16,2,1094,2199,1938,2,0,0,1286,2156,2205,323,25,1,0,0,1591,1994,71,2663,441,73,45,2,1,2359,2888,1490,229,0,0,0,2893,3024,394,896,147,36,0,0,0,0,3055,3045,546,0,0,0,3170,3104,430,68,0,0,0,4383,2217,180,25,0,0,0,0,4501,940,6,0,2973,484,0,0,2644,868,131,3,1,0,0,0,0,1365,0,0,1255,10,0,1255,0,551,1353,0,521,426,1,1370,357,715,1339,0,920,592,0,4877,118,636,6,0,13344,637,0,9229,0,0,8205,223,4745,1180,1575,0,5070,0,0,0,0,1383
Atreggies,Epic,0,DILITHIUM_STONE_FRAGMENT,0,0,0,30,10,6,0,0,0,0,0,0,36,2,8,0,0,0,0,0,0,28,3,2,27,2,1,0,0,20,2,42,5,0,0,0,0,0,30,5,0,14,0,0,0,0,12,2,37,7,0,6,0,0,0,21,0,34,8,0,0,0,0,14,3,39,1,11,1,0,0,0,24,3,47,15,0,0,0,0,0,18,39,3,3,1,0,20,34,25,0,0,0,18,32,23,5,0,0,0,0,20,28,1,35,11,0,0,0,0,38,29,11,4,0,0,0,34,31,6,15,5,0,0,0,0,0,44,36,9,0,0,0,43,45,9,0,0,0,0,56,27,2,0,0,0,0,0,49,13,0,0,40,9,0,0,33,13,2,0,0,0,0,0,0,13,0,0,17,0,0,18,0,13,21,0,12,6,0,15,9,9,23,0,7,4,0,24,0,8,0,0,168,6,0,112,0,0,101,3,65,54,20,0,77,0,0,0,0,17
Atreggies,Epic,0,Demeters necklace,0,0,0,415,78,49,0,2,0,0,0,0,416,38,70,4,1,0,776,1063,61,2003,174,60,1518,88,27,8,0,170,33,515,13,9,0,0,0,0,442,59,15,175,14,5,0,0,199,21,496,76,3,34,2,0,0,211,7,490,60,1,0,0,0,180,30,462,11,173,7,0,1,0,296,65,396,69,0,0,0,0,0,257,520,80,77,1,0,162,338,314,1,0,0,205,334,360,48,4,0,0,0,213,330,9,424,73,13,7,0,0,397,415,242,43,0,0,0,430,492,50,125,18,2,0,0,0,0,491,524,103,0,0,0,519,486,58,13,0,0,0,700,357,29,10,0,0,0,0,730,147,1,0,466,78,0,0,469,125,11,2,0,0,0,0,0,207,0,0,222,1,0,166,0,101,192,0,94,69,0,221,61,121,209,0,150,92,0,131,6,95,0,0,2145,120,0,1501,0,0,1255,31,759,192,228,0,837,0,0,0,0,232
Atreggies,Epic,0,Dilithium monocle,0,0,0,940,163,115,5,2,1,0,0,0,949,68,134,9,0,0,0,0,0,620,52,18,729,38,7,2,0,378,49,1116,32,23,0,0,0,0,985,129,26,442,25,7,1,0,435,36,1108,167,6,77,4,0,0,489,19,1028,146,4,0,0,0,413,65,1089,24,406,27,4,1,0,602,109,1027,152,0,0,0,0,0,564,1067,163,163,10,1,397,768,728,1,0,0,457,717,746,111,9,1,0,0,590,743,19,933,170,27,19,0,0,862,998,531,98,0,0,0,1026,1101,114,296,50,8,0,0,0,0,1933,5514,1009,0,0,0,1135,1061,169,33,0,0,0,1548,813,48,14,0,0,0,0,1586,293,1,0,1056,161,0,0,965,307,36,2,0,0,0,0,0,474,1,0,468,1,0,449,0,198,527,0,198,169,1,435,142,223,470,0,336,234,0,363,11,210,2,0,4872,238,0,3294,0,0,2881,89,1729,446,576,0,1819,0,0,0,0,506
Atreggies,Epic,0,Dilithium stone,0,0,0,878,145,111,5,4,0,0,0,0,780,78,130,8,1,1,0,0,0,587,68,19,593,32,9,1,0,314,56,948,23,18,0,0,0,0,863,144,18,373,17,8,3,0,375,24,1010,160,5,59,7,0,0,458,15,936,136,1,0,0,0,360,47,969,20,355,13,6,0,0,558,100,868,155,0,0,0,0,0,571,951,172,156,6,1,376,698,619,4,0,0,455,690,730,107,6,0,0,0,547,661,11,876,150,21,19,0,0,734,872,424,98,0,0,0,917,960,119,268,55,11,0,0,0,0,976,981,182,0,0,0,1059,934,172,21,0,0,0,1362,721,53,11,0,0,0,0,1411,301,2,2,960,142,0,0,920,258,29,2,0,0,0,0,0,389,0,0,393,4,0,396,0,188,433,0,189,137,1,511,601,224,403,0,281,227,0,311,11,207,3,0,4470,197,0,2993,0,0,2511,86,1503,334,527,0,1569,0,0,0,0,460
