shipType,shipDurationType,level,targetArtifact,AURELIAN_BROOCH_0_COMMON,AURELIAN_BROOCH_1_COMMON,AURELIAN_BROOCH_2_COMMON,AURELIAN_BROOCH_2_EPIC,AURELIAN_BROOCH_2_RARE,AURELIAN_BROOCH_3_COMMON,AURELIAN_BROOCH_3_EPIC,AURELIAN_BROOCH_3_LEGENDARY,AURELIAN_BROOCH_3_RARE,BEAK_OF_MIDAS_0_COMMON,BEAK_OF_MIDAS_1_COMMON,BEAK_OF_MIDAS_2_COMMON,BEAK_OF_MIDAS_2_RARE,BEAK_OF_MIDAS_3_COMMON,BEAK_OF_MIDAS_3_LEGENDARY,BEAK_OF_MIDAS_3_RARE,BOOK_OF_BASAN_0_COMMON,BOOK_OF_BASAN_1_COMMON,BOOK_OF_BASAN_2_COMMON,BOOK_OF_BASAN_2_EPIC,CARVED_RAINSTICK_0_COMMON,CARVED_RAINSTICK_1_COMMON,CARVED_RAINSTICK_2_COMMON,CARVED_RAINSTICK_3_COMMON,CARVED_RAINSTICK_3_EPIC,CARVED_RAINSTICK_3_LEGENDARY,CLARITY_STONE_0_COMMON,CLARITY_STONE_1_COMMON,CLARITY_STONE_FRAGMENT_0_COMMON,DEMETERS_NECKLACE_0_COMMON,DEMETERS_NECKLACE_1_COMMON,DEMETERS_NECKLACE_1_RARE,DEMETERS_NECKLACE_2_COMMON,DEMETERS_NECKLACE_2_EPIC,DEMETERS_NECKLACE_2_RARE,DEMETERS_NECKLACE_3_COMMON,DEMETERS_NECKLACE_3_EPIC,DEMETERS_NECKLACE_3_LEGENDARY,DEMETERS_NECKLACE_3_RARE,DILITHIUM_MONOCLE_0_COMMON,DILITHIUM_MONOCLE_1_COMMON,DILITHIUM_MONOCLE_2_COMMON,DILITHIUM_MONOCLE_3_COMMON,DILITHIUM_MONOCLE_3_EPIC,DILITHIUM_MONOCLE_3_LEGENDARY,DILITHIUM_STONE_0_COMMON,DILITHIUM_STONE_1_COMMON,DILITHIUM_STONE_FRAGMENT_0_COMMON,GOLD_METEORITE_0_COMMON,GOLD_METEORITE_1_COMMON,GOLD_METEORITE_2_COMMON,INTERSTELLAR_COMPASS_0_COMMON,INTERSTELLAR_COMPASS_1_COMMON,INTERSTELLAR_COMPASS_2_COMMON,INTERSTELLAR_COMPASS_2_RARE,INTERSTELLAR_COMPASS_3_COMMON,INTERSTELLAR_COMPASS_3_EPIC,INTERSTELLAR_COMPASS_3_LEGENDARY,INTERSTELLAR_COMPASS_3_RARE,LIFE_STONE_0_COMMON,LIFE_STONE_1_COMMON,LIFE_STONE_2_COMMON,LIFE_STONE_FRAGMENT_0_COMMON,LIGHT_OF_EGGENDIL_0_COMMON,LIGHT_OF_EGGENDIL_1_COMMON,LIGHT_OF_EGGENDIL_1_RARE,LIGHT_OF_EGGENDIL_2_COMMON,LIGHT_OF_EGGENDIL_2_RARE,LIGHT_OF_EGGENDIL_3_COMMON,LIGHT_OF_EGGENDIL_3_EPIC,LIGHT_OF_EGGENDIL_3_LEGENDARY,LUNAR_STONE_0_COMMON,LUNAR_STONE_1_COMMON,LUNAR_STONE_2_COMMON,LUNAR_STONE_FRAGMENT_0_COMMON,LUNAR_TOTEM_0_COMMON,LUNAR_TOTEM_1_COMMON,LUNAR_TOTEM_1_RARE,LUNAR_TOTEM_2_COMMON,LUNAR_TOTEM_2_RARE,LUNAR_TOTEM_3_COMMON,LUNAR_TOTEM_3_EPIC,LUNAR_TOTEM_3_LEGENDARY,LUNAR_TOTEM_3_RARE,MERCURYS_LENS_0_COMMON,MERCURYS_LENS_1_COMMON,MERCURYS_LENS_1_RARE,MERCURYS_LENS_2_COMMON,MERCURYS_LENS_2_RARE,MERCURYS_LENS_3_COMMON,MERCURYS_LENS_3_EPIC,MERCURYS_LENS_3_LEGENDARY,MERCURYS_LENS_3_RARE,NEODYMIUM_MEDALLION_0_COMMON,NEODYMIUM_MEDALLION_1_COMMON,NEODYMIUM_MEDALLION_1_RARE,NEODYMIUM_MEDALLION_2_COMMON,NEODYMIUM_MEDALLION_2_EPIC,NEODYMIUM_MEDALLION_3_COMMON,NEODYMIUM_MEDALLION_3_EPIC,NEODYMIUM_MEDALLION_3_LEGENDARY,NEODYMIUM_MEDALLION_3_RARE,ORNATE_GUSSET_0_COMMON,ORNATE_GUSSET_1_COMMON,ORNATE_GUSSET_1_EPIC,ORNATE_GUSSET_2_COMMON,ORNATE_GUSSET_2_RARE,ORNATE_GUSSET_3_COMMON,ORNATE_GUSSET_3_EPIC,ORNATE_GUSSET_3_LEGENDARY,PHOENIX_FEATHER_0_COMMON,PHOENIX_FEATHER_1_COMMON,PHOENIX_FEATHER_2_COMMON,PHOENIX_FEATHER_2_RARE,PHOENIX_FEATHER_3_COMMON,PHOENIX_FEATHER_3_LEGENDARY,PHOENIX_FEATHER_3_RARE,PROPHECY_STONE_0_COMMON,PROPHECY_STONE_1_COMMON,PROPHECY_STONE_FRAGMENT_0_COMMON,PUZZLE_CUBE_0_COMMON,PUZZLE_CUBE_1_COMMON,PUZZLE_CUBE_1_EPIC,PUZZLE_CUBE_2_COMMON,PUZZLE_CUBE_2_RARE,PUZZLE_CUBE_3_COMMON,PUZZLE_CUBE_3_EPIC,PUZZLE_CUBE_3_LEGENDARY,PUZZLE_CUBE_3_RARE,QUANTUM_METRONOME_0_COMMON,QUANTUM_METRONOME_1_COMMON,QUANTUM_METRONOME_1_RARE,QUANTUM_METRONOME_2_COMMON,QUANTUM_METRONOME_2_EPIC,QUANTUM_METRONOME_2_RARE,QUANTUM_METRONOME_3_COMMON,QUANTUM_METRONOME_3_EPIC,QUANTUM_METRONOME_3_LEGENDARY,QUANTUM_METRONOME_3_RARE,QUANTUM_STONE_0_COMMON,QUANTUM_STONE_1_COMMON,QUANTUM_STONE_2_COMMON,QUANTUM_STONE_FRAGMENT_0_COMMON,SHELL_STONE_0_COMMON,SHELL_STONE_1_COMMON,SHELL_STONE_2_COMMON,SHELL_STONE_FRAGMENT_0_COMMON,SHIP_IN_A_BOTTLE_0_COMMON,SHIP_IN_A_BOTTLE_1_COMMON,SHIP_IN_A_BOTTLE_2_COMMON,SHIP_IN_A_BOTTLE_2_RARE,SHIP_IN_A_BOTTLE_3_COMMON,SHIP_IN_A_BOTTLE_3_EPIC,SHIP_IN_A_BOTTLE_3_LEGENDARY,SHIP_IN_A_BOTTLE_3_RARE,SOLAR_TITANIUM_0_COMMON,SOLAR_TITANIUM_1_COMMON,SOLAR_TITANIUM_2_COMMON,SOUL_STONE_0_COMMON,SOUL_STONE_1_COMMON,SOUL_STONE_2_COMMON,SOUL_STONE_FRAGMENT_0_COMMON,TACHYON_DEFLECTOR_0_COMMON,TACHYON_DEFLECTOR_1_COMMON,TACHYON_DEFLECTOR_2_COMMON,TACHYON_DEFLECTOR_2_RARE,TACHYON_STONE_0_COMMON,TACHYON_STONE_1_COMMON,TACHYON_STONE_2_COMMON,TACHYON_STONE_FRAGMENT_0_COMMON,TAU_CETI_GEODE_0_COMMON,TAU_CETI_GEODE_1_COMMON,TAU_CETI_GEODE_2_COMMON,TERRA_STONE_0_COMMON,TERRA_STONE_1_COMMON,TERRA_STONE_2_COMMON,TERRA_STONE_FRAGMENT_0_COMMON,THE_CHALICE_0_COMMON,THE_CHALICE_1_COMMON,THE_CHALICE_1_EPIC,THE_CHALICE_2_COMMON,THE_CHALICE_2_EPIC,THE_CHALICE_2_RARE,THE_CHALICE_3_COMMON,THE_CHALICE_3_EPIC,THE_CHALICE_3_LEGENDARY,TITANIUM_ACTUATOR_0_COMMON,TITANIUM_ACTUATOR_1_COMMON,TITANIUM_ACTUATOR_2_COMMON,TITANIUM_ACTUATOR_2_RARE,TITANIUM_ACTUATOR_3_COMMON,TITANIUM_ACTUATOR_3_EPIC,TITANIUM_ACTUATOR_3_LEGENDARY,TUNGSTEN_ANKH_0_COMMON,TUNGSTEN_ANKH_1_COMMON,TUNGSTEN_ANKH_1_RARE,TUNGSTEN_ANKH_2_COMMON,TUNGSTEN_ANKH_2_LEGENDARY,TUNGSTEN_ANKH_2_RARE,TUNGSTEN_ANKH_3_COMMON,TUNGSTEN_ANKH_3_LEGENDARY,TUNGSTEN_ANKH_3_RARE,VIAL_MARTIAN_DUST_0_COMMON,VIAL_MARTIAN_DUST_1_COMMON,VIAL_MARTIAN_DUST_1_RARE,VIAL_MARTIAN_DUST_2_COMMON,VIAL_MARTIAN_DUST_2_EPIC,VIAL_MARTIAN_DUST_3_COMMON,VIAL_MARTIAN_DUST_3_LEGENDARY,VIAL_MARTIAN_DUST_3_RARE
CHICKEN_ONE,SHORT,0,LUNAR_TOTEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN_ONE,SHORT,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN_ONE,LONG,0,LUNAR_TOTEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN_ONE,LONG,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN_ONE,EPIC,0,LUNAR_TOTEM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
CHICKEN_ONE,EPIC,0,UNKNOWN,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258,11466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,993,0,0,0,0,0,0,0
CHICKEN_ONE,TUTORIAL,0,LUNAR_TOTEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN_ONE,TUTORIAL,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN_NINE,SHORT,0,LUNAR_TOTEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CHICKEN_NINE,SHORT,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,0,0,0,0,0,0
